epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.7098362445831299,0.8425177931785583,0.575422465801239,0.7585660815238953
1,0.48615729808807373,0.6972497701644897,0.48141154646873474,0.6938382387161255
2,0.45108312368392944,0.6716272234916687,0.4327141046524048,0.6578100919723511
3,0.4333326816558838,0.658280074596405,0.413138747215271,0.6427586674690247
4,0.42161086201667786,0.6493156552314758,0.40449851751327515,0.6360020041465759
5,0.41365453600883484,0.643159806728363,0.3969304859638214,0.6300241947174072
6,0.40677690505981445,0.6377906203269958,0.391202837228775,0.6254621148109436
7,0.4009192883968353,0.6331818699836731,0.38621482253074646,0.6214618682861328
8,0.39631378650665283,0.6295345425605774,0.38158854842185974,0.6177285313606262
9,0.3921564221382141,0.6262239217758179,0.3777730464935303,0.6146324276924133
10,0.38833773136138916,0.6231675148010254,0.3752327859401703,0.6125624775886536
11,0.38465365767478943,0.620204508304596,0.37194159626960754,0.6098701357841492
12,0.38129550218582153,0.6174913048744202,0.36787959933280945,0.6065307855606079
13,0.37797483801841736,0.6147965788841248,0.36592355370521545,0.6049161553382874
14,0.37520697712898254,0.6125413775444031,0.3624417781829834,0.6020313501358032
15,0.3720029294490814,0.6099204421043396,0.3594902753829956,0.5995750427246094
16,0.36931073665618896,0.6077094078063965,0.35704195499420166,0.5975298881530762
17,0.36623671650886536,0.6051749587059021,0.35415491461753845,0.5951091647148132
18,0.3634907007217407,0.6029018759727478,0.3518187999725342,0.5931431651115417
19,0.3616611063480377,0.6013826727867126,0.35133713483810425,0.5927370190620422
20,0.3587319552898407,0.5989423394203186,0.34736374020576477,0.5893757343292236
21,0.35693782567977905,0.5974427461624146,0.34611716866493225,0.5883172154426575
22,0.3551822006702423,0.5959716439247131,0.344273179769516,0.586747944355011
23,0.3534260392189026,0.5944964289665222,0.342896968126297,0.5855740308761597
24,0.3522820472717285,0.5935335159301758,0.34156450629234314,0.5844351649284363
